ID,Title,US,Description,Estimation,Priority,Sprint,Status,Acceptance Criteria,DoD,Owner,Hours,Risk Notes
T-32,Acción updateTareaEstado con optimistic UI,US-04,"Reemplaza el T-32 original por action Pinia.",M,P1,Sprint-2,BACKLOG,"US-04 CA-2; CA-4.","PATCH API actualizado, UI optimista y rollback básico.",Jose Vilches Sánchez,4,"medium: riesgo de inconsistencias entre optimismo y servidor"
T-33,Campo de notas libre en tarea,US-04,"Mantiene el T-33 original.",S,P1,Sprint-2,BACKLOG,"US-04 CA-3.","Textarea persiste notas y muestra valor previo.",Jose Vilches Sánchez,2,none
T-34,Auditoría actualizadoEn/completadaEn,US-04,"Reemplaza el T-34 original con timestamps de servidor.",M,P1,Sprint-2,BACKLOG,"US-04 CA-4; RNF-07.","Timestamps y usuario registrados en backend/Firestore.",Jose Vilches Sánchez,4,"medium: trazabilidad incompleta afecta auditoría"
T-35,Vista Agenda Semanal básica,US-12,"Mantiene el T-35 original.",L,P3,Sprint-2,BACKLOG,"US-12 CA-1; CA-2.","Vista de 7 días y navegación al detalle diario.",Jose Vilches Sánchez,8,"medium: es could-have y compite con musts"
T-36,Modelo Firestore residentes + seeds,US-05,"Reemplaza el T-36 original SQL por colección residentes.",M,P1,Sprint-3,BACKLOG,"US-05 CA-1; CA-4; campos RGPD coinciden con SPEC.","Colección y seeds ficticios creados.",Jose Vilches Sánchez,4,"medium: datos sensibles requieren especial cuidado"
T-37,Reglas para residentes y asignaciones,US-05,"Reemplaza el T-37 original por acceso según asignación/rol.",L,P1,Sprint-3,BACKLOG,"US-02 CA-2; CA-3; US-05 CA-2..CA-4; RNF-09.","Acceso a residentes validado en emulador y API.",Jose Vilches Sánchez,8,"high: modelo de asignación define consultas y seguridad del dominio"
T-38,Store residente + endpoint detalle,US-05,"Reemplaza el T-38 original hook por store + endpoint.",S,P1,Sprint-3,BACKLOG,"US-05 CA-1; CA-5.","Detalle cargado desde API con control de error.",Jose Vilches Sánchez,2,none
T-39,Página Ficha de Residente,US-05,"Mantiene el T-39 original en Vue.",M,P1,Sprint-3,BACKLOG,"US-05 CA-1..CA-5.","Ficha readonly para gerocultor y editable solo por coordinador.",Jose Vilches Sánchez,4,none
T-40,Enlace ficha desde TaskCard,US-05,"Mantiene el T-40 original.",XS,P1,Sprint-3,BACKLOG,"US-05 CA-5.","CTA visible desde agenda y navegación correcta.",Jose Vilches Sánchez,1,none
T-41,Formulario Crear Residente,US-09,"Mantiene el T-41 original.",M,P2,Sprint-3,BACKLOG,"US-09 CA-1.","Alta con validación y permisos correctos.",Jose Vilches Sánchez,4,none
T-42,Formulario Editar Residente,US-09,"Mantiene el T-42 original.",M,P2,Sprint-3,BACKLOG,"US-09 CA-2.","Edición completa y persistencia segura.",Jose Vilches Sánchez,4,none
T-43,Archivar residente,US-09,"Mantiene el T-43 original con archivado=true.",S,P2,Sprint-3,BACKLOG,"US-09 CA-3; CA-4.","Residente archivado sale de agendas activas sin perder historial.",Jose Vilches Sánchez,2,none
T-44,Lista de Residentes,US-09,"Mantiene el T-44 original.",M,P2,Sprint-3,BACKLOG,"US-09 CA-4.","Listado con filtros y búsqueda operativos.",Jose Vilches Sánchez,4,none
T-45,Modelo Firestore incidencias + endpoint create,US-06,"Reemplaza el T-45 original SQL por subcolección incidencias.",M,P1,Sprint-3,BACKLOG,"US-06 CA-1..CA-4.","POST API crea incidencia con timestamp de servidor.",Jose Vilches Sánchez,4,"medium: relación con tarea/residente debe quedar consistente"
T-46,Rules de incidencias inmutables,US-06,"Reemplaza el T-46 original por inmutabilidad en Rules.",M,P1,Sprint-3,BACKLOG,"US-06 CA-2; CA-3; US-07 CA-5; RNF-09.","Create/read permitido; update/delete denegado y probado.",Jose Vilches Sánchez,4,"high: si falla, el historial pierde integridad legal/funcional"
T-47,Formulario Registrar Incidencia,US-06,"Mantiene el T-47 original.",M,P1,Sprint-3,BACKLOG,"US-06 CA-1; CA-6.","Formulario rápido, usable en tablet y con validaciones.",Jose Vilches Sánchez,4,none
T-48,Acción crearIncidencia,US-06,"Reemplaza el T-48 original por store/action Pinia.",S,P1,Sprint-3,BACKLOG,"US-06 CA-4.","Al guardar, la incidencia aparece en historial sin recarga completa.",Jose Vilches Sánchez,2,none
T-49,Incidencia crítica → notificación,US-06,"Reemplaza el T-49 original trigger Supabase por servicio Express/Firebase.",M,P1,Sprint-3,BACKLOG,"US-06 CA-5; US-08 CA-1.","Incidencias críticas generan notificación para usuarios destino.",Jose Vilches Sánchez,4,"high: fan-out y destinatarios incorrectos degradan la utilidad del sistema"
T-50,Store historial de incidencias,US-07,"Reemplaza el T-50 original hook por store Pinia.",M,P1,Sprint-3,BACKLOG,"US-07 CA-1..CA-4.","Filtros, orden y paginación funcionan desde API.",Jose Vilches Sánchez,4,none
T-51,Página Historial de Incidencias,US-07,"Mantiene el T-51 original adaptado a Vue.",M,P1,Sprint-3,BACKLOG,"US-07 CA-1..CA-5.","Vista readonly con filtros y navegación usable.",Jose Vilches Sánchez,4,none
T-52,Panel Admin: gestión de usuarios,US-10,"Actualiza el T-52 original a Firebase Auth + Firestore.",L,P2,Sprint-3,BACKLOG,"US-10 CA-1; CA-3; CA-4.","Crear/desactivar usuarios y sincronizar claims/documentos.",Jose Vilches Sánchez,8,"high: sincronización Auth/Firestore y permisos administrativos"
T-53,Asignación de residentes a gerocultor,US-10,"Mantiene el T-53 original con modelo Firestore.",M,P2,Sprint-3,BACKLOG,"US-10 CA-2; US-02 CA-2.","Asignación persiste y afecta acceso inmediatamente.",Jose Vilches Sánchez,4,"medium: cambios impactan Rules y consultas"
T-54,Modelo Firestore notificaciones,US-08,"Reemplaza el T-54 original SQL por colección Firestore.",S,P2,Sprint-4,BACKLOG,"US-08 CA-1; CA-3.","Modelo y endpoint de lectura/marcar leída listos.",Jose Vilches Sánchez,2,none
T-55,Store notificacion + badge,US-08,"Reemplaza el T-55 original hook por store.",M,P2,Sprint-4,BACKLOG,"US-08 CA-3.","Contador de no leídas visible y sincronizado.",Jose Vilches Sánchez,4,none
T-56,Panel y toasts in-app,US-08,"Mantiene el T-56 original limitado a primer plano.",M,P2,Sprint-4,BACKLOG,"US-08 CA-1; CA-3; CA-4 modificado por spec.","Panel y toast funcionan sin service worker.",Jose Vilches Sánchez,4,none
T-57,Alertas de tarea próxima (15 min),US-08,"Mantiene el T-57 original sin cron serverless.",M,P2,Sprint-4,BACKLOG,"US-08 CA-2.","Aviso visible antes de la hora programada.",Jose Vilches Sánchez,4,"medium: sincronización horaria y UX del aviso"
T-58,Inicio/cierre de turno + base de resumen,US-11,"Reemplaza el T-58 original de PWA por flujo turnos.",M,P2,Sprint-4,BACKLOG,"US-11 CA-1; CA-3.","Iniciar/cerrar turno registra estado y contexto de resumen.",Jose Vilches Sánchez,4,"medium: modelar turno activo por usuario"
T-59,BLOCKED — Push notifications PWA,US-08,"El T-59 original queda bloqueado por RNF-10/G06.",XS,P3,Sprint-4,BLOCKED,"RNF-10 documenta que push nativas están fuera de alcance.","Tarea marcada bloqueada; no se implementa sin nueva spec y ADR.",Jose Vilches Sánchez,1,"high: scope creep si se desbloquea sin aprobación"
T-60,BLOCKED — Caché offline de agenda,—,"El T-60 original queda bloqueado por RNF-10/G06.",S,P3,Sprint-4,BLOCKED,"RNF-10 excluye offline/cache-first.","Backlog deja constancia del bloqueo y la razón.",Jose Vilches Sánchez,2,"high: rompe el scope lock si se implementa"
T-61,BLOCKED — Cola offline de incidencias,—,"El T-61 original queda bloqueado por RNF-10/G06.",M,P3,Sprint-4,BLOCKED,"RNF-10 excluye colas offline/IndexedDB.","Tarea documentada como bloqueada.",Jose Vilches Sánchez,4,"high: añade complejidad no especificada"
T-62,Banner de conectividad requerida,—,"Actualiza el T-62 original para informar, no para soportar offline.",S,P2,Sprint-4,BACKLOG,"RNF-10; el usuario entiende que necesita conexión.","Banner/empty-state visibles ante desconexión.",Jose Vilches Sánchez,2,none
T-63,Generar resumen de turno,US-11,"Mantiene el T-63 original.",M,P2,Sprint-4,BACKLOG,"US-11 CA-1; CA-3.","Resumen muestra tareas completadas, pendientes e incidencias.",Jose Vilches Sánchez,4,none
T-64,Exportar resumen a PDF/enlace,US-11,"Mantiene el T-64 original sin dependencia de PWA.",M,P3,Sprint-4,BACKLOG,"US-11 CA-2.","Export/share disponible desde la vista resumen.",Jose Vilches Sánchez,4,"medium: formato PDF en tablet puede requerir ajuste fino"
T-65,Tests unitarios stores/services,—,"Reemplaza el T-65 original de hooks Query por stores/services.",L,P1,Sprint-5,BACKLOG,"RNF-08; cobertura ≥ 60% en lógica de negocio.","Suite Vitest estable para frontend/api.",Jose Vilches Sánchez,8,"medium: deuda de test si se deja para el final"
T-66,Tests integración Auth + RBAC,"US-01,US-02","Actualiza el T-66 original con Emulator + Express.",L,P1,Sprint-5,BACKLOG,"US-01; US-02; RNF-03; RNF-09.","Casos de login, logout, 401 y 403 automatizados.",Jose Vilches Sánchez,8,"high: integra SDK, API y Rules; propenso a flakes si se diseña mal"
T-67,Tests E2E agenda → incidencia,"US-03,US-04,US-06","Mantiene el T-67 original con Playwright.",L,P1,Sprint-5,BACKLOG,"Flujos críticos de agenda e incidencia pasan de extremo a extremo.","Playwright cubre login, agenda, actualización e incidencia crítica.",Jose Vilches Sánchez,8,"medium: datos semilla deben ser estables"
T-68,Audit Lighthouse Performance,US-03,"Mantiene el T-68 original.",M,P1,Sprint-5,BACKLOG,"RNF-02; RNF-04; score y tiempos dentro de objetivo.","Informe y ajustes aplicados.",Jose Vilches Sánchez,4,none
T-69,Audit Lighthouse Accessibility,—,"Mantiene el T-69 original.",M,P1,Sprint-5,BACKLOG,"RNF-05; score ≥ 85 y problemas críticos corregidos.","Checklist accesibilidad cerrada.",Jose Vilches Sánchez,4,none
T-70,Revisión responsive tablet + mobile,—,"Mantiene el T-70 original con foco tablet-first.",M,P1,Sprint-5,BACKLOG,"RNF-01; vistas críticas operables en tablet/móvil.","Incidencias de layout registradas y corregidas.",Jose Vilches Sánchez,4,none
T-71,Seeds demo con @faker-js/faker,—,"Actualiza el T-71 original SQL por seeds Firestore/Auth.",S,P1,Sprint-5,BACKLOG,"ADR-04b; RNF-03; solo datos ficticios en todos los entornos.","Script reproducible de demo disponible.",Jose Vilches Sánchez,2,"medium: seeds deben respetar reglas y relaciones"
T-72,Revisar y cerrar ADR-01b..04b,—,"Actualiza el T-72 original a ADRs Firebase.",M,P2,Sprint-5,BACKLOG,"G02; decisiones reales documentadas y sin deuda oculta.","ADRs actualizados a estado correcto con shortcuts anotados.",Jose Vilches Sánchez,4,none
T-73,Documentar API + Rules + migración,—,"Actualiza el T-73 original con contratos Express y reglas Firestore.",M,P2,Sprint-5,BACKLOG,"G04; RNF-08; docs reflejan entidades y endpoints reales.","SPEC/api-contracts.md y documentación técnica al día.",Jose Vilches Sánchez,4,"medium: divergencia entre docs y código"
T-74,Actualizar TECH_GUIDE.md,—,"Actualiza el T-74 original al stack Vue/Firebase.",M,P2,Sprint-5,BACKLOG,"RNF-08; guía técnica refleja estructura y patrones reales.","Convenciones y arquitectura documentadas.",Jose Vilches Sánchez,4,none
T-75,Variables de entorno y setup local,—,"Actualiza el T-75 original a frontend/api/emulator.",S,P2,Sprint-5,BACKLOG,"G05; .env.example cubre todas las variables requeridas.","Setup local reproducible desde README.",Jose Vilches Sánchez,2,none
T-76,Correcciones post-QA,—,"Mantiene el T-76 original como buffer de bugs.",M,P1,Sprint-5,BACKLOG,"Bugs críticos y bloqueantes cerrados antes de Sprint-6.","Backlog de defectos priorizados y resueltos.",Jose Vilches Sánchez,4,"medium: buffer insuficiente si se retrasa testing"
T-77,Portada y primera página reales,—,"Actualiza el T-77 original con metadatos académicos confirmados.",S,P1,Sprint-6,BACKLOG,"G09 y OUTPUTS/academic/README.md; portada incluye autor, tutor, centro y curso correctos.","Portada y primera página revisadas.",Jose Vilches Sánchez,2,none
T-78,Introducción, contexto y requisitos,—,"Actualiza el T-78 original a Vue/Firebase y SPEC final.",M,P1,Sprint-6,BACKLOG,"Secciones 1, 3 y 4 de memoria completas y trazables a SPEC.","Borradores revisados y sin placeholders del stack antiguo.",Jose Vilches Sánchez,4,none
T-79,Diseño del sistema en memoria,—,"Actualiza el T-79 original con nueva arquitectura.",M,P1,Sprint-6,BACKLOG,"Sección 5 refleja Vue + Express + Firestore + diagramas.","Diagramas y texto alineados con diseño aprobado.",Jose Vilches Sánchez,4,none
T-80,Tecnologías utilizadas y ADRs,—,"Actualiza el T-80 original sustituyendo React/Supabase.",M,P1,Sprint-6,BACKLOG,"Sección 2 y comparativa técnica usan ADR-01b..04b finales.","Justificación del stack final escrita.",Jose Vilches Sánchez,4,none
T-81,Implementación técnica por sprints,—,"Actualiza el T-81 original con narrativa cronológica Sprint-0..6.",M,P1,Sprint-6,BACKLOG,"Sección 6 organizada por sprint y problemas reales.","Capturas/evidencias incluidas y ordenadas.",Jose Vilches Sánchez,4,none
T-82,Pruebas, seguridad y RGPD,—,"Actualiza el T-82 original con resultados Emulator/Playwright/Vitest.",M,P1,Sprint-6,BACKLOG,"Secciones 9 y 10 incluyen métricas cuantificables y medidas RGPD.","Tablas de tests y seguridad completas.",Jose Vilches Sánchez,4,"medium: depende de evidencias reales previas"
T-83,Conclusiones y formación,—,"Actualiza el T-83 original con datos cuantitativos.",S,P1,Sprint-6,BACKLOG,"Secciones 11 y 12 completas con horas, alcance y aprendizajes.","Cierre académico revisado.",Jose Vilches Sánchez,2,none
T-84,Anexos, bibliografía y recursos,—,"Actualiza el T-84 original con referencias y anexos finales.",S,P2,Sprint-6,BACKLOG,"Secciones 13, 14 y anexos cumplen formato del centro.","Bibliografía comentada y recursos listados.",Jose Vilches Sánchez,2,none
T-85,Slides de presentación,—,"Mantiene el T-85 original.",M,P1,Sprint-6,BACKLOG,"Deck resume problema, solución, arquitectura, demo y resultados.","Presentación lista para ensayo.",Jose Vilches Sánchez,4,none
T-86,Video demo de la aplicación,—,"Actualiza el T-86 original eliminando referencias a PWA/offline.",M,P1,Sprint-6,BACKLOG,"Demo muestra login, agenda, incidencia, residentes y cierre de turno.","Vídeo exportado y revisado.",Jose Vilches Sánchez,4,none
T-87,Revisión final y entrega,—,"Mantiene el T-87 original.",S,P1,Sprint-6,BACKLOG,"Checklist de entrega completo y artefactos finales consistentes.","Memoria, repo, presentación y despliegue listos.",Jose Vilches Sánchez,2,"medium: agrupa dependencias finales"
T-94,Reescribir placeholders de la memoria,—,"Nuevo; limpiar referencias antiguas a React/Supabase y completar checklist académico.",M,P1,Sprint-6,BACKLOG,"G09; ningún placeholder del stack antiguo permanece en outputs académicos.","Secciones afectadas reescritas y checklist actualizado.",Jose Vilches Sánchez,4,"medium: inconsistencias narrativas si no se hace de forma global"
T-95,Regenerar .docx desde plantilla,—,"Nuevo; generar documento final desde la plantilla establecida con metadatos correctos.",S,P1,Sprint-6,BACKLOG,"G09; .docx usa Jose Vilches Sánchez, ANDRES MARTOS GAZQUEZ, CIPFP Batoi d'Alcoi y Curso 2025-2026.","Archivo .docx final exportado y revisado visualmente.",Jose Vilches Sánchez,2,"medium: no se detectó plantilla en repo; confirmar ruta antes de ejecutar"
